City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Mapiripan,CO,2.8892,-72.1256,82.11,77,69,5.7,broken clouds
287,West Fargo,US,46.875,-96.9004,60.03,53,1,7.0,clear sky
288,Derzhavinsk,KZ,51.1,66.3167,75.52,26,64,9.01,broken clouds
289,Roald,NO,62.5833,6.1333,77.11,55,0,4.61,clear sky
290,Komsomolskiy,UZ,40.4272,71.7189,83.62,21,100,32.21,overcast clouds
291,Blonay,CH,46.4678,6.8962,69.94,62,84,7.11,broken clouds
292,Kutum,SD,14.2,24.6667,94.57,9,74,11.41,broken clouds
293,Tautira,PF,-17.7333,-149.15,75.22,74,67,10.56,light rain
294,Shenzhen,CN,22.5455,114.0683,86.86,91,100,11.83,overcast clouds
295,Garmisch-Partenkirchen,DE,47.4921,11.0958,65.52,51,61,5.1,broken clouds
296,Turka,UA,49.1541,23.0297,53.8,96,100,4.68,overcast clouds
297,Taltal,CL,-25.4,-70.4833,68.94,61,45,5.44,scattered clouds
298,Ishigaki,JP,24.3448,124.1572,81.34,85,74,5.48,broken clouds
299,Chunoyar,RU,57.4467,97.3217,37.89,70,96,5.53,overcast clouds
300,Poyarkovo,RU,49.6,128.6833,51.44,92,100,0.58,moderate rain
301,Port-Gentil,GA,-0.7193,8.7815,79.2,86,100,11.74,moderate rain
302,Lata,PT,40.1629,-8.3327,92.71,51,0,10.63,clear sky
303,Sanming,CN,26.2486,117.6186,68.72,99,100,3.0,light rain
304,Oussouye,SN,12.485,-16.5469,96.98,29,58,13.85,broken clouds
305,Nanning,CN,22.8167,108.3167,82.85,82,99,5.48,light rain
306,Hamilton,US,39.1834,-84.5333,51.06,82,90,5.01,overcast clouds
307,Grindavik,IS,63.8424,-22.4338,51.75,81,75,24.79,broken clouds
308,Hornepayne,CA,49.2138,-84.7705,60.01,27,7,3.51,clear sky
309,Natal,BR,-5.795,-35.2094,86.65,62,75,16.35,broken clouds
310,Yulara,AU,-25.2406,130.9889,53.44,54,61,9.22,broken clouds
311,Sobolevo,RU,54.4299,31.8996,58.26,75,98,10.4,overcast clouds
312,Careiro Da Varzea,BR,-3.2003,-59.8119,88.43,58,38,1.81,light rain
313,Lasa,IT,46.6166,10.7002,65.28,90,100,6.76,overcast clouds
314,Anloga,GH,5.7947,0.8973,84.56,73,100,10.4,overcast clouds
315,Cheremnoye,RU,53.1697,83.2133,59.59,64,24,6.82,few clouds
316,Yining,CN,29.0361,114.5636,68.05,91,100,2.93,overcast clouds
317,Altamira,BR,-3.2033,-52.2064,86.09,70,75,5.75,broken clouds
318,Uvinza,TZ,-5.1036,30.3911,77.0,63,87,3.49,overcast clouds
319,Collie,AU,-33.3667,116.15,51.98,97,100,2.93,light rain
