City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Kupang,ID,76.93,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
384,Payo,ID,73.06,light rain,-3.7508,103.6372,Mess keban agung
385,Wanaka,NZ,43.7,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
387,Dolores,AR,49.69,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
388,Leh,IN,55.26,few clouds,34.1667,77.5833,Hotel Ladakh Greens
389,Vestmannaeyjar,IS,49.19,broken clouds,63.4427,-20.2734,Glamping & Camping
390,Berlevag,NO,39.65,overcast clouds,70.8578,29.0864,Kvitbrakka
392,Saint-Andre-Avellin,CA,59.72,few clouds,45.7168,-75.066,Auberge Petite-Nation
394,Broome,US,47.64,overcast clouds,42.2506,-75.833,Chenango Valley State Park
395,Salacea,RO,66.52,overcast clouds,47.4667,22.3167,Băile Herculane
397,Calbuco,CL,45.61,light rain,-41.768,-73.1273,Hotel Colonial
398,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
399,Atherton,GB,69.35,overcast clouds,53.5237,-2.4935,The Lion Inn
400,Namatanai,PG,79.63,overcast clouds,-3.6667,152.4333,Namatanai Hotel
402,Qingdao,CN,65.8,light rain,36.0986,120.3719,东晖国际大酒店餐厅
405,Tobermory,CA,58.3,clear sky,45.2501,-81.6665,Escarpment Heights Motel
407,Brighton,GB,70.95,clear sky,50.8284,-0.1395,Jurys Inn Brighton
410,Surt,LY,76.71,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
411,Namie,JP,66.96,scattered clouds,37.4833,141.0,いこいの村なみえ
413,Shimoda,JP,70.16,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
414,Matagami,CA,50.11,clear sky,49.7502,-77.6328,Hôtel Matagami
416,Atyashevo,RU,70.36,broken clouds,54.5644,46.0691,Motel Atyshevo
417,Slave Lake,CA,55.38,clear sky,55.2834,-114.76899999999999,Super 8 by Wyndham Slave Lake AB
419,Tigil,RU,36.43,broken clouds,57.8,158.6667,Tigil'
421,Severo-Kurilsk,RU,39.24,broken clouds,50.6789,156.125,Kak Doma
422,Esil,KZ,73.18,few clouds,51.9556,66.4042,Egorkino Hotel
425,Guerrero Negro,MX,62.46,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
426,Bow Island,CA,57.22,overcast clouds,49.8668,-111.3684,Pleasant View Lodge
428,Ancud,CL,47.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
430,Son La,VN,78.82,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
431,Oktyabrskiy,RU,69.42,light rain,54.4815,53.471000000000004,Уязы-Тау гостиница
432,Ichinohe,JP,56.34,broken clouds,40.2069,141.3017,鳥越旅館
433,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,San Francisco de La Selva
434,Luau,AO,79.68,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
435,College,US,40.21,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
436,Talara,PE,72.36,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
442,Talcahuano,CL,51.48,light rain,-36.7167,-73.1167,Hotel Terramar
443,Rio Grande,BR,66.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
444,Flin Flon,CA,48.04,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
446,Kizukuri,JP,60.94,overcast clouds,40.8061,140.3861,Hotel memory
448,Doncaster,GB,69.78,few clouds,53.5233,-1.1369,The Regent Hotel
449,Isangel,VU,70.14,broken clouds,-19.55,169.2667,Tanna Lodge
450,Ahipara,NZ,53.55,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
453,Casas Grandes,MX,75.43,clear sky,30.3667,-107.95,Pueblo del Soul B&B
454,Temple,US,75.38,scattered clouds,31.0982,-97.3428,La Quinta Inn by Wyndham Temple
455,Pierre,US,55.06,overcast clouds,44.3683,-100.351,Ramkota Hotel
456,Dunedin,NZ,49.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
457,Kautokeino,NO,44.11,broken clouds,69.0125,23.0412,Thon Hotel Kautokeino
458,Chota,PE,66.9,few clouds,-6.55,-78.65,Hotel lmata 2
459,Kavarna,BG,74.01,overcast clouds,43.4333,28.3333,Вила Алегра (Villa Allegra)
460,San Luis,AR,55.0,few clouds,-33.295,-66.3356,Huarpes Hotel
461,Kualakapuas,ID,77.16,few clouds,-3.0091,114.3876,Guest House Izonk
463,Pinawa,CA,56.23,overcast clouds,50.1489,-95.8811,Pinawa Motel
465,Pedasi,PA,77.81,overcast clouds,7.5333,-80.0333,Selina Pedasi
466,Olafsvik,IS,46.17,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
